"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","9/16/2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","ABW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0799999237061","","","6.4499998092651","","","7.4499998092651","","","6.9200000762939","6.9000000953674","","","","","","5.710000038147","","","10.60000038147","8.8999996185303","","","","","","","","","",""
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4900000095367","","","","1.6900000572205","","7.9099998474121","","","11.180000305176","","","11.710000038147","5.5799999237061"
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3356812821261","","","6.9835569379885","","","",""
"Angola","AGO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","14.199999809265","14.89999961853","18.89999961853","","","","","","","","","","","","","","","","","","23.639999389648","","","","","3.7799999713898","9.4300003051758","7.3600001335144","","","9.579999923706","","","","","","",""
"Albania","ALB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","5.5999999046326","5.0999999046326","3.5999999046326","4.4000000953674","5.6999998092651","6.6999998092651","6.4000000953674","6.0999999046326","7","7.3000001907349","9.5","9.1000003814697","26.5","22.299999237061","18.39999961853","12.89999961853","12.300000190735","14.89999961853","17.700000762939","18.39999961853","16.799999237061","16.39999961853","15.800000190735","15","14.39999961853","14.10000038147","13.800000190735","15.970000267029","13.060000419617","13.670000076294","14.090000152588","13.479999542236","13.380000114441","15.869999885559","18.049999237061","17.190000534058","15.420000076294","13.619999885559","12.300000190735","11.470000267029","",""
"Andorra","AND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arab World","ARB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.114627023776","10.477955974728","9.993013254405","9.2108148346324","","","","","","9.5702426949348","","","","",""
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","1.960000038147","","","","","","","","","","1.1499999761581","","","","","","","","","","1.7999999523163","","","","","2.25","","","","","3.1199998855591","","","","","","","","","","","1.6399999856949","2.460000038147","2.2400000095367","2.329999923706","4.289999961853",""
"Argentina","ARG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","4.8000001907349","6","6.5999999046326","5.5999999046326","3.4000000953674","2.2999999523163","4.5","2.7999999523163","2.7999999523163","2","2.2999999523163","4.5","4.7300000190735","4.1700000762939","3.539999961853","5.3000001907349","4.4000000953674","5.3000001907349","6","7.3000001907349","7.0599999427795","5.4400000572205","6.3600001335144","10.10000038147","11.760000228882","18.799999237061","17.110000610352","14.819999694824","12.64999961853","14.050000190735","15","17.319999694824","19.590000152588","15.359999656677","13.520000457764","11.510000228882","10.079999923706","8.4700002670288","7.8400001525879","8.6499996185303","7.710000038147","7.1799998283386","7.2199997901917","7.0999999046326","7.2699999809265","","","8.3500003814697","9.2200002670288","9.8400001525879","11.460000038147","8.7399997711182"
