"Data Source","World Development Indicators","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","9/16/2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","4.0322580562863","1.0739664082683","3.643045458177","3.1218684961072","3.9916280460457","5.8366877515817","5.5555555555558","3.8733753699648","5.2155599603571","6.3110797127044","3.3613910732089","3.2252879721398","2.9999480977841","1.8694885361554","2.2803719825876","4.0440213119051","2.8836043031626","3.3152467858543","3.6563650793841","2.5291294693276","3.3977867782881","3.6080243878454","5.3925678447551","8.9559870517779","-2.1354287204693","2.0781407186078","4.3162974219521","0.62747199289333","-2.3720652425225","0.42144091888116","0.47476359734261","-0.93119598707962","-1.02828178762","3.6260414135296","4.2574620433543","",""
"Africa Eastern and Southern","AFE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","19.598393574215","15.224098935289","11.216471317262","14.238055494268","12.52689251464","15.069849824102","15.066511537251","14.461591074211","12.139917695473","11.567524383407","10.983862571577","13.006566421883","13.891971645557","12.563443221107","12.522253935574","12.558202070701","12.457913978957","17.678100263852","16.167612396334","13.135660768372","14.852814983397","12.288591260143","9.7065863252651","10.249598740307","7.4952560069558","7.8198647763086","8.6014851485149","5.8403539831156","8.7637536642617","7.4497001400736","5.0234206861628","8.5580380223977","8.8981638021403","8.45077480635","12.566644659516","8.9542180239294","5.5375379164568","8.9712064099579","9.1587071547167","5.7509813335246","5.3702896100859","5.2501708635488","6.5713964217396","6.3993434156938","4.720811388773","4.1202458701498","5.4048146718452","7.2409776558845"
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.686268721671","6.7845965500166","8.6805707851341","26.418664154744","-6.8111610889899","2.1785375238942","11.804185808913","6.4412128093412","7.3857717839786","4.6739960353634","-0.6617091647137","4.3838919551391","4.9759515055383","0.62614914916881","2.3023725151684","",""
"Africa Western and Central","AFW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","8.7992108330878","12.059765208134","10.671936758893","11.25","7.3549257759783","5.9509649994662","0.24878855535477","2.5236593059939","0.86928702260828","1.0573613945721","1.7418878593267","-0.062999006478697","0.55345572354192","31.841016841638","10.563288669181","4.914239726372","3.997141704393","4.471125438511","0.37226617031192","2.5307751673799","4.3615291400725","3.1886933022059","1.7609041009963","0.69433630594575","5.6316335135761","4.4158998416956","3.607367679846","8.4497215352329","3.2824403758932","1.7848442047711","4.0186990753449","4.5783746351595","2.4392007610413","1.7580519603779","2.1302680615151","1.4945636640986","1.7646349515956","1.7840499483204","1.7585651759566","2.492521733764","3.9256028310427"
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.783783783784","299.50980392157","1378.527607362","949.79253112033","2666.4505928854","4145.1059822064","219.17672117297","107.2848215283","248.19590241287","324.99687160132","152.5610224693","108.89743608943","98.224143657331","43.542106751969","22.953513851394","13.305210178003","12.251497445949","12.47582913264","13.730283928841","14.469656493258","13.482467921851","10.277904921884","8.7778142933262","7.2803873036113","9.150372075172","30.695312993494","29.84358669188","19.628607720977","17.081215213899","",""
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.00542125353","85.004751238716","22.56505269337","7.7932185378921","12.72547780871","33.180274375396","20.64285886706","0.38943765356161","0.050018136346823","3.1075882703143","7.7705258343155","0.48400261181848","2.280019169381","2.366581956798","2.3707283190428","2.9326824816232","3.3208709038927","2.2669220945083","3.6260469557982","3.4291232472216","2.031592683953","1.9376208020523","1.6258650440261","3.5012083549266","-0.36731720978463","2.0605984592022","2.0280596307114","1.4110907895425","1.62088661717","2.0414716313955"
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","8.266666666","15.528281750267","9.6696954815125","10.317415887741","11.989283322105","9.7160327495434","","9.6260566461318","10.758503416014","8.3312557558115","5.4936655143209","8.116397955171","7.2543617998164","6.7988584474884","4.2224166624075","5.9115449637349","7.7408860396134","8.4514624080388","9","9.3597515895314","9.3703441597146","5.1125989044432","6.5437906852417","4.6813062391641","3.6011610326095","3.417319489758","2.669373690537","1.8537903532528","1.7722043735102","1.8329938900205","2.7125924747435","3.6322800495663","3.4936853461953","3.5449859160503","4.7439063902165","11.270665238085","2.9208971180537","3.9110619553403","4.7531638888563","4.6118443220665","3.2381083391407","2.7735161312612","1.8140772393776","2.0688403605348","1.9668255781884","2.4581415800753","1.0918480265585","1.7774078380617","3.2434596827536"
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.250420244814","1.5618131744907","0.8779832882859","0.87734659568508","0.66226890026908","1.1011183637571","2.3462686567164","4.069966083616","1.6174880890419","1.9668255781884","3.0686337925199","-1.9310811478217","-2.0794031794094",""
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
